carrier_name,flights,delayed,delay_hours,cancelled,carrier_delay,weather_delay,nas_delay,late_aircraft_delay,delay_rate,cancellation_rate,late_aircraft_share,delay_hours_per_1k_flights,cluster
ATA Airlines d/b/a ATA,181463.0,35298.0,34052.51666666666,1862.0,405504.0,22990.679999999993,855393.1199999999,729633.0,0.19451899285253743,0.010261044951312389,0.3623667557841965,187.65542654241727,0
Air Wisconsin Airlines Corp,523646.0,97971.0,137213.89999999994,16663.0,2324426.52,461069.4799999999,1370718.5199999998,3949371.5599999987,0.18709395278489666,0.03182111579196633,0.48724071535614355,262.03561184464303,2
AirTran Airways Corporation,2427762.0,486307.0,411081.49999999977,23771.0,4337725.68,333751.36,6882867.439999999,12353900.079999994,0.2003108212419504,0.009791322213627201,0.5167213363991119,169.32528806365687,2
Alaska Airlines Inc.,2309954.0,392718.0,317482.79999999993,23907.0,6399036.2,522002.04,4599295.359999999,7270036.639999999,0.17001117771176397,0.010349556744420018,0.3869022561633144,137.44117848234202,0
Alaska Airlines Network,1575469.0,284479.0,229781.2166666666,27232.0,4212998.359999999,499758.1599999999,4084123.3199999994,4761307.679999999,0.18056781821794018,0.01728501163780436,0.3511758244216996,145.84940526704528,0
Allegiant Air,774867.0,184022.0,229249.03333333333,26547.0,4559152.0,1069177.2399999998,2487800.0,5570484.0,0.23748849802611288,0.03426007301898261,0.40700236810373985,295.8559770042257,1
Aloha Airlines Inc.,89547.0,6374.0,4373.683333333333,1175.0,144922.0,2297.0,15933.0,97398.0,0.07118049739243079,0.013121600946988733,0.3738169257340242,48.842321164677024,0
America West Airlines Inc.,503162.0,96342.0,71301.25,6465.0,1675976.8399999999,70883.68,1309726.1199999999,1164624.0,0.19147312396405133,0.012848744539532,0.2758981011191614,141.70634904861654,0
American Airlines Inc.,9457537.0,1984814.0,1606536.9666666656,167685.0,30110784.999999996,6020110.199999997,25076332.359999992,33850442.359999985,0.20986584562132826,0.017730303354879816,0.3561042721590834,169.86843050856322,2
American Airlines Network,6043869.0,1231294.0,1178442.3833333324,139762.0,23509601.159999996,3500795.359999998,12720085.279999996,29449739.47999998,0.2037261231174931,0.023124591217976432,0.42569594220875834,194.98145696627978,2
American Eagle Airlines Inc.,5184465.0,1129165.0,909100.4333333328,178259.0,15772311.959999999,3903821.679999999,13915811.599999996,20591295.039999988,0.2177977862711003,0.034383297022932933,0.38003070568669195,175.35086712579462,2
Atlantic Coast Airlines,374247.0,79078.0,72151.26666666663,11960.0,1060800.68,303373.75999999995,995880.7199999996,1728411.9599999995,0.21129895496824289,0.031957504001368084,0.42275305371662125,192.7905011039945,2
Atlantic Southeast Airlines,2526762.0,618201.0,444843.9499999997,68385.0,10806773.959999999,3075732.639999999,5359715.959999998,6839821.319999997,0.24466134918919946,0.02706428227114386,0.262242535572331,176.05296818616065,1
Comair Inc.,1765828.0,394146.0,339045.0333333332,58036.0,7514035.119999999,3482037.3199999984,6488128.079999999,1074183.0,0.22320746981019668,0.03286616816586893,0.05788128038427348,192.00343030767053,1
"Commutair Aka Champlain Enterprises, Inc.",280544.0,68214.0,97056.56666666664,11227.0,1676049.3599999999,334773.4799999999,1111494.9999999995,2528786.159999999,0.24314902475191058,0.04001867799703433,0.4474853338391932,345.9584473974373,1
CommuteAir LLC dba CommuteAir,162654.0,27797.0,40252.5,3162.0,875656.0,183503.07999999996,367468.0,973614.0,0.1708965042359856,0.01944003836364307,0.40563175429028153,247.47316389390977,2
Compass Airlines,206764.0,37042.0,45103.15,2156.0,977523.0,69247.68,422139.0,1233371.0,0.1791511094774719,0.010427347120388461,0.45641853902459906,218.13831227873322,2
